player_id,player_name,batting_innings,bowling_innings,total_runs_scored,total_balls_faced,total_fours,total_sixes,total_catches,total_runouts,total_balls_bowled,total_dot_balls,total_wickets,total_LBWs/Bowled,total_runs_conceded,total_stumpings
a5c2ef8c,CP Simpson,1,1,8,5,1,0,0,0,20,7,1,1,25,0
db2114f1,MJ Johnston,6,6,39,30,0,2,1,0,91,40,3,0,121,0
ff6707cc,LR Butterworth,2,3,2,3,0,0,2,0,68,18,4,1,85,0
c8d0314b,TD Cruickshank,3,0,17,30,1,1,0,0,0,0,0,0,0,0
5ce5204c,IA Moran,2,3,21,17,2,1,0,0,43,9,2,1,68,0
751f4b9b,BG Drew,2,2,15,25,1,0,1,2,50,15,3,0,65,0
a6ae5f7f,DR Salpietro,2,2,13,27,0,0,1,0,48,15,1,0,65,0
c9078a9a,ND Bills,0,1,0,0,0,0,0,0,24,9,2,0,45,0
aba0412a,MR Day,1,1,29,22,1,1,1,0,14,2,0,0,25,0
2a236847,CR Swan,0,1,0,0,0,0,0,0,24,15,1,0,16,0
30811a4b,TJ Armstrong,2,0,15,29,1,0,1,0,0,0,0,0,0,0
44ec8c4a,JM Herrick,0,2,0,0,0,0,1,0,47,22,0,0,60,0
0a3049c5,BG McDonald,0,1,0,0,0,0,0,0,18,2,1,0,28,0
3b1fa4cb,DO Christian,1,0,0,2,0,0,0,1,0,0,0,0,0,0
f467d746,MC Bascombe,1,0,3,9,0,0,0,0,0,0,0,0,0,0
42a05795,GW Aldridge,14,23,130,253,15,1,4,0,1987,1448,42,12,1192,0
fd4afedb,N Ncube,2,3,17,23,0,1,1,0,268,183,4,1,197,0
dd468277,N M'shangwe,10,13,51,66,3,5,3,0,1112,672,14,2,764,0
f874c5a7,AL Hodgkinson,6,0,163,235,15,0,3,0,0,0,0,0,0,0
79e10d25,Y van der Westhuizen,4,0,30,48,3,0,1,1,0,0,0,0,0,0
61a79c07,M Smook,1,0,2,2,0,0,0,0,0,0,0,0,0,0
93a583c3,RH Candy,3,5,10,14,0,0,1,0,228,121,6,2,189,0
77dccc29,L Meyer,1,1,7,5,0,0,0,0,18,2,0,0,32,0
4f421623,JP Kreusch,3,1,37,29,4,1,1,0,12,4,0,0,18,0
70d117de,A Jacobs,1,0,0,1,0,0,1,0,0,0,0,0,0,0
88867cac,AJA Gray,4,9,24,26,1,0,1,2,178,54,13,6,222,0
789fd884,CA Thyssen,11,0,111,112,5,5,4,1,0,0,0,0,0,0
5f419ace,WL Coetsee,20,31,173,162,8,7,7,3,564,176,18,2,683,0
