match_id,player_id,player_name,actual_fantasy_points,role,team_name,predicted_fantasy_points
1427836,b4e026de,S Munro,0,Bowler,Sunrisers,45.657849132862864
1427836,e69dbbef,KL George,0,Bowler,Central Sparks,43.091972732759984
1427836,92b94582,J Grewcock,0,All-Rounder,Sunrisers,41.778882691715275
1427836,54719239,GK Davis,0,Bowler,Central Sparks,39.38592186931072
1427836,370a88ac,B Ellis,0,Bowler,Central Sparks,38.05544633844606
1427836,7306c48d,G Scrivens,0,All-Rounder,Sunrisers,37.663642742948504
1427836,cefad9fd,HL Baker,0,Bowler,Central Sparks,36.726729340228566
1427836,c3f4dc55,AD Carr,0,Wicket-Keeper,Sunrisers,23.911684350654554
1427836,bfa0fa33,D Perrin,0,Batsman,Central Sparks,15.164004452159825
1427837,459a7b0a,R MacDonald-Gay,150,Bowler,South East Stars,51.10743305143425
1427837,f7b74efa,HE Jones,108,Bowler,Thunder,43.38592562544893
1427837,d6a9af83,PA Franklin,47,Bowler,South East Stars,41.41349843707667
1427837,c9366237,A Stonehouse,51,Bowler,South East Stars,37.20892069044845
1427837,35828bdd,AN Davidson-Richards,22,All-Rounder,South East Stars,36.334251318582105
1427837,3247d54e,S Smale,34,Wicket-Keeper,Thunder,31.33263519565236
1427837,13c19f32,ND Dattani,93,Bowler,Thunder,31.148420721261992
1427837,d12c8445,K Moore,101,Bowler,South East Stars,31.130984963785178
1427837,3a9b3866,FMK Morris,89,Bowler,Thunder,30.06559340339698
1427837,9049ab63,MR Corteen-Coleman,-2,Bowler,South East Stars,29.369549968675337
1427837,b9a52291,A Cranstone,47,Batsman,South East Stars,26.562535121005503
1427838,2e0b6638,EA Burns,64,Bowler,Northern Diamonds,47.42854237811781
1427838,b4e026de,S Munro,38,Bowler,Sunrisers,44.838635745422046
1427838,f05167d2,HJ Armitage,37,All-Rounder,Northern Diamonds,40.895708587430136
1427838,58717de2,E Gray,34,Bowler,Sunrisers,38.45873664813963
1427838,cd62f670,MK Villiers,-2,Bowler,Sunrisers,36.68153406402007
1427838,a0a65375,K Fraser,0,Bowler,Northern Diamonds,34.77032740318576
1427838,8f30d191,KA Levick,0,Bowler,Northern Diamonds,32.969970740432785
1427838,53e25aa3,PE Turner,29,Bowler,Northern Diamonds,32.223817704897385
1427838,92b94582,J Grewcock,5,All-Rounder,Sunrisers,30.540762520464384
1427838,c3f4dc55,AD Carr,6,Wicket-Keeper,Sunrisers,20.191650908411425
1427838,2b150c6b,SL Kalis,-2,Batsman,Northern Diamonds,17.478011554327175
1427839,f7b74efa,HE Jones,25,Bowler,Thunder,57.49307120895869
1427839,78fd864b,EL Arlott,-3,Bowler,Central Sparks,50.29217818987172
1427839,13c19f32,ND Dattani,25,Bowler,Thunder,48.72889447157377
1427839,3247d54e,S Smale,13,Wicket-Keeper,Thunder,47.244648430239955
1427839,370a88ac,B Ellis,45,Bowler,Central Sparks,44.6720597473583
1427839,e69dbbef,KL George,24,Bowler,Central Sparks,42.36935516397015
1427839,e3a93585,G Potts,46,Bowler,Central Sparks,37.82570815785855
1427839,8ae7bb3e,TG Norris,140,Bowler,Thunder,37.52830696587215
1427839,3a9b3866,FMK Morris,0,Bowler,Thunder,37.3820322089175
1427839,02181d9a,EL Lamb,87,All-Rounder,Thunder,34.31391777790733
1427839,ef13bd20,KM Mack,65,Batsman,Thunder,19.274012424907767
1427840,99812d10,H Graham,37,Bowler,The Blaze,55.90685816018516
1427840,00823a96,KL Gordon,33,Bowler,The Blaze,47.887856379759214
1427840,f13d3eba,KE Bryce,145,All-Rounder,The Blaze,47.61917599653314
1427840,9b3bcca4,A Wellington,-2,Bowler,Western Storm,43.60983422925441
1427840,11ff23e3,J Groves,25,Bowler,The Blaze,40.92876339515316
1427840,5f86ce69,E Anderson,-2,Bowler,Western Storm,39.83136579093093
1427840,a28132bd,FC Wilson,83,Batsman,Western Storm,39.75967299885046
