match_id,player_id,player_name,actual_fantasy_points,role,team_name,predicted_fantasy_points
1415098,e0ac7144,OJ Hannon-Dalby,60,Bowler,Warwickshire,44.80470719120286
1415098,ee6ebf47,K Smith,52,Batsman,Warwickshire,18.86084427426179
1415098,e5218454,JB Lintott,50,Bowler,Warwickshire,52.86854710672324
1415098,bdadcca1,TJ Haines,44,All-Rounder,Sussex,21.441879942018303
1415098,f05fe9b1,JA Simpson,15,Wicket-Keeper,Sussex,27.61316511420634
1415099,ec5160d7,J Broad,153,All-Rounder,Northamptonshire,18.221766415238513
1415099,693af62a,AH Miller,127,All-Rounder,Northamptonshire,19.866765380060855
1415099,1b77f62b,MD Stoneman,105,Batsman,Middlesex,28.25033197136215
1415099,8b3e9c7c,PP Shaw,102,Batsman,Northamptonshire,41.201261292038105
1415099,ab01e323,SA Zaib,98,All-Rounder,Northamptonshire,46.40825102260808
1415099,bdc0670a,LBK Hollman,79,All-Rounder,Middlesex,45.07336231248639
1415099,8cbcff3b,JM De Caires,76,Bowler,Middlesex,47.97086960243553
1415099,dd6e32da,JB Cracknell,64,Wicket-Keeper,Middlesex,31.654950107475297
1415099,76dc16d4,JLB Davies,52,Wicket-Keeper,Middlesex,16.511645612076805
1415099,2085e1fa,HJH Brookes,50,Bowler,Middlesex,37.06706481109387
1415099,8f08313a,NB Cornwell,50,Bowler,Middlesex,25.50524914987669
1415100,5ccdb14f,C McKerr,151,Bowler,Surrey,48.975614303224525
1415100,01a95383,MD Taylor,137,Bowler,Gloucestershire,49.08745875641421
1415100,5899dceb,CT Steel,130,All-Rounder,Surrey,43.171029610409875
1415100,399b0b94,CT Bancroft,126,Wicket-Keeper,Gloucestershire,22.84029887837098
1415100,97905e64,RS Patel,108,All-Rounder,Surrey,43.28322627280561
1415100,3385b875,J Blake,102,Wicket-Keeper,Surrey,24.17833193455184
1415100,dfc3f02d,OJ Price,84,All-Rounder,Gloucestershire,44.36863934038469
1415100,c88bc84a,Miles Hammond,68,Batsman,Gloucestershire,18.388208972353176
1415100,aed5be04,JMR Taylor,61,All-Rounder,Gloucestershire,32.86110664754006
1415100,5bfdc77a,James Bracey,58,Wicket-Keeper,Gloucestershire,31.27088637457438
1415100,27e60d6e,AS Dale,56,Bowler,Gloucestershire,47.09063945967469
1415101,1efd12d1,PR Brown,157,Bowler,Derbyshire,56.05669041243394
1415101,9789e56e,LM Reece,71,All-Rounder,Derbyshire,52.87599146854945
1415101,fe5b4367,ZJ Chappell,66,Bowler,Derbyshire,72.98417952720344
1415101,8159d5fc,BD Guest,61,Wicket-Keeper,Derbyshire,24.342317248772623
1415101,7578b730,HJ Moore,58,Bowler,Derbyshire,42.29348019052962
1415101,067bda18,S Conners,33,Bowler,Derbyshire,51.28823645378189
1415101,a24be938,VR Iyer,24,All-Rounder,Lancashire,16.582734615003247
1415101,35c08a29,JM Blatherwick,23,Bowler,Lancashire,44.08366005372336
1415101,3e7534f7,GJ Bell,22,Wicket-Keeper,Lancashire,24.49465396646037
1415101,0a7c6649,HRC Came,20,Batsman,Derbyshire,25.86757134847295
1415101,4fad64fd,R Flintoff,15,Batsman,Lancashire,10.572838540078994
1415102,3987e390,MJ Leach,208,Bowler,Somerset,33.31079886752269
1415102,ed47cb25,LP Goldsworthy,137,All-Rounder,Somerset,43.85326077975539
1415102,71440756,P Coughlin,96,All-Rounder,Durham,43.777606522245094
1415102,e734d090,CN Ackermann,69,All-Rounder,Durham,40.27359379802794
1415102,2ca9cf48,JJ Bushnell,64,All-Rounder,Durham,46.11853580622109
1415102,fc4375ef,BFW de Leede,64,All-Rounder,Durham,42.21944138314619
1415102,d3868bd0,JH Davey,56,Bowler,Somerset,45.52774096703734
1415102,f2e28b0c,GW Thomas,54,All-Rounder,Somerset,45.40969913657207
1415102,2344bdd1,SR Dickson,43,Batsman,Somerset,26.494511901897297
1415102,51e1ed69,SG Borthwick,37,All-Rounder,Durham,37.35945005362641
1415102,521595e7,JEK Rew,30,Wicket-Keeper,Somerset,29.551556470895925
1415103,6e0a2209,B Swanepoel,132,Bowler,Kent,33.12145681867093
1415103,a9da7784,KJ Abbott,123,Bowler,Hampshire,33.921498967421556
1415103,098229a5,CH Stobo,87,All-Rounder,Kent,29.503647385837837
1415103,6b16f8ba,HZ Finch,75,Wicket-Keeper,Kent,24.71502806869966
1415103,52912da9,EV Jack,72,Bowler,Hampshire,50.46304650391371
1415103,a77472dc,G Stewart,66,Bowler,Kent,40.0533814277603
1415103,5f031dc9,DC Kelly,61,All-Rounder,Hampshire,32.18931886773008
1415103,93cad673,NN Gilchrist,42,Bowler,Kent,51.95376224810927
1415103,c1a89821,NRT Gubbins,41,Batsman,Hampshire,41.359583708985895
1415103,6fecec77,JR Eckland,33,Batsman,Hampshire,20.001427767303156
1415103,19708692,MW Parkinson,25,Bowler,Kent,55.171157454879946
1415104,bfc60227,SG Budinger,154,Batsman,Leicestershire,35.72038356964333
1415104,c5cc48bc,MJJ Critchley,154,All-Rounder,Essex,42.66998700512486
1415104,f8a63b6f,NRM Thain,76,All-Rounder,Essex,45.88339972116571
1415104,b5781ac3,L Trevaskis,71,Bowler,Leicestershire,34.120933651710686
1415104,ac3c3cab,TAR Scriven,71,All-Rounder,Leicestershire,43.9155683402852
1415104,25a42048,T Westley,69,All-Rounder,Essex,23.017366468193806
1415104,ed12fcd7,BWM Mike,68,Bowler,Leicestershire,36.31178311331184
1415104,42ee1d76,CWJ Allison,67,Batsman,Essex,23.54135152907869
1415104,e05b2a5b,MET Salisbury,66,Bowler,Leicestershire,29.665047921252786
1415104,04cd872b,JA Richards,66,Bowler,Essex,48.26966857467708
1415104,35f9a295,LJ Hill,49,Wicket-Keeper,Leicestershire,24.836041842366733
1415105,9e1b7792,EJ Byrom,159,Batsman,Glamorgan,31.240149507502142
1415105,7d7233a9,AW Gorvin,149,Bowler,Glamorgan,48.249985433926746
1415105,c995d726,CA Ingram,140,All-Rounder,Glamorgan,61.08840155095584
1415105,fe0c5457,H Hameed,108,Batsman,Nottinghamshire,23.111214562866103
1415105,d48c0f40,LA Patterson-White,72,All-Rounder,Nottinghamshire,41.78878888419253
1415105,97da28bd,WT Smale,68,Batsman,Glamorgan,23.440722542257134
1415105,85dcb721,TJ Moores,58,Wicket-Keeper,Nottinghamshire,30.94120830233576
1415105,353de846,FW McCann,56,All-Rounder,Nottinghamshire,19.785928388329523
